feature,importance
fp_465,4.26748364297976e-06
fp_289,3.929943766597018e-06
fp_1013,3.439876802106371e-06
fp_669,3.2636216416766692e-06
fp_87,3.2569152074538956e-06
fp_678,3.210379498759982e-06
fp_196,3.132939362900563e-06
fp_157,3.040227232409265e-06
fp_792,2.5020989518065306e-06
fp_802,2.3879441577445704e-06
fp_50,2.345286770899513e-06
fp_855,2.331600713056936e-06
fp_942,2.295627648862819e-06
fp_116,2.257311338627055e-06
fp_649,2.1661540807738078e-06
fp_797,2.039800239458008e-06
fp_189,1.951335178329572e-06
fp_101,1.8200655287348155e-06
fp_246,1.5080238446874006e-06
fp_989,1.311282942932183e-06
fp_135,1.1788213100475768e-06
fp_811,1.1258705997866751e-06
fp_216,1.1089842916200965e-06
fp_550,8.041765903558465e-07
fp_883,6.830542007193093e-07
fp_170,6.003061246614058e-07
fp_633,5.355350606676504e-07
fp_895,3.565383553579456e-07
fp_651,2.7912553257625206e-07
fp_512,2.1221809994494598e-07
fp_575,4.632746671469808e-08
fp_353,0.0
fp_754,0.0
fp_752,0.0
fp_750,0.0
fp_747,0.0
fp_126,0.0
fp_127,0.0
fp_129,0.0
fp_743,0.0
fp_130,0.0
fp_741,0.0
fp_738,0.0
fp_737,0.0
fp_134,0.0
fp_137,0.0
fp_733,0.0
fp_732,0.0
fp_138,0.0
fp_728,0.0
fp_139,0.0
fp_141,0.0
fp_148,0.0
fp_717,0.0
fp_716,0.0
fp_160,0.0
fp_709,0.0
fp_708,0.0
fp_706,0.0
fp_123,0.0
fp_756,0.0
fp_703,0.0
fp_121,0.0
fp_803,0.0
fp_96,0.0
fp_97,0.0
fp_800,0.0
fp_98,0.0
fp_100,0.0
fp_793,0.0
fp_791,0.0
fp_789,0.0
fp_787,0.0
fp_106,0.0
fp_109,0.0
fp_780,0.0
fp_779,0.0
fp_778,0.0
fp_776,0.0
fp_773,0.0
fp_772,0.0
fp_768,0.0
fp_767,0.0
fp_764,0.0
fp_762,0.0
fp_120,0.0
fp_759,0.0
fp_758,0.0
fp_704,0.0
fp_701,0.0
fp_809,0.0
fp_627,0.0
fp_644,0.0
fp_642,0.0
fp_195,0.0
fp_640,0.0
fp_639,0.0
fp_199,0.0
fp_635,0.0
fp_201,0.0
fp_204,0.0
fp_630,0.0
fp_629,0.0
fp_628,0.0
fp_206,0.0
fp_164,0.0
fp_622,0.0
fp_621,0.0
fp_619,0.0
fp_617,0.0
fp_209,0.0
fp_613,0.0
fp_611,0.0
fp_211,0.0
fp_605,0.0
fp_604,0.0
fp_602,0.0
fp_213,0.0
fp_194,0.0
fp_646,0.0
fp_648,0.0
fp_192,0.0
fp_699,0.0
fp_696,0.0
fp_692,0.0
fp_166,0.0
fp_688,0.0
fp_171,0.0
fp_174,0.0
fp_683,0.0
fp_681,0.0
fp_177,0.0
fp_676,0.0
fp_178,0.0
fp_672,0.0
fp_179,0.0
fp_182,0.0
fp_666,0.0
fp_665,0.0
fp_663,0.0
fp_660,0.0
fp_657,0.0
fp_184,0.0
fp_654,0.0
fp_653,0.0
fp_652,0.0
fp_190,0.0
fp_95,0.0
fp_810,0.0
fp_215,0.0
fp_945,0.0
fp_970,0.0
fp_27,0.0
fp_28,0.0
fp_966,0.0
fp_30,0.0
fp_963,0.0
fp_31,0.0
fp_959,0.0
fp_34,0.0
fp_950,0.0
fp_949,0.0
fp_946,0.0
fp_944,0.0
fp_975,0.0
fp_943,0.0
fp_35,0.0
fp_941,0.0
fp_38,0.0
fp_936,0.0
fp_40,0.0
fp_43,0.0
fp_930,0.0
fp_44,0.0
fp_45,0.0
fp_927,0.0
fp_921,0.0
fp_972,0.0
fp_976,0.0
fp_92,0.0
fp_1001,0.0
fp_1021,0.0
fp_1020,0.0
fp_1018,0.0
fp_3,0.0
fp_1016,0.0
fp_1015,0.0
fp_5,0.0
fp_1008,0.0
fp_1006,0.0
fp_12,0.0
fp_1004,0.0
fp_1003,0.0
fp_16,0.0
fp_977,0.0
fp_995,0.0
fp_993,0.0
fp_992,0.0
fp_991,0.0
fp_18,0.0
fp_20,0.0
fp_986,0.0
fp_984,0.0
fp_21,0.0
fp_23,0.0
fp_24,0.0
fp_26,0.0
fp_920,0.0
fp_919,0.0
fp_918,0.0
fp_839,0.0
fp_860,0.0
fp_71,0.0
fp_73,0.0
fp_75,0.0
fp_77,0.0
fp_79,0.0
fp_850,0.0
fp_847,0.0
fp_82,0.0
fp_845,0.0
fp_83,0.0
fp_840,0.0
fp_838,0.0
fp_916,0.0
fp_85,0.0
fp_86,0.0
fp_88,0.0
fp_828,0.0
fp_827,0.0
fp_826,0.0
fp_824,0.0
fp_822,0.0
fp_821,0.0
fp_819,0.0
fp_817,0.0
fp_813,0.0
fp_861,0.0
fp_864,0.0
fp_865,0.0
fp_867,0.0
fp_915,0.0
fp_912,0.0
fp_49,0.0
fp_910,0.0
fp_909,0.0
fp_908,0.0
fp_907,0.0
fp_906,0.0
fp_905,0.0
fp_903,0.0
fp_899,0.0
fp_889,0.0
fp_885,0.0
fp_61,0.0
fp_63,0.0
fp_882,0.0
fp_880,0.0
fp_65,0.0
fp_878,0.0
fp_66,0.0
fp_876,0.0
fp_873,0.0
fp_871,0.0
fp_67,0.0
fp_868,0.0
fp_594,0.0
fp_169,0.0
fp_491,0.0
fp_502,0.0
fp_278,0.0
fp_496,0.0
fp_280,0.0
fp_281,0.0
