SMILE A,SMILE B,SMILE C,Swelling Ratio (times),Source
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,[*]C([H])([H])C(O)([H])[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,17.15,10.1002_mame.200900212_part_1.txt_段1_Material1
[*]C(CCCCCO[*])=O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,12.7,10.1016_j.msec.2019.110618_part_1.txt_段1_Material1
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,[*]C(C(OC1O[*])COC(C)=O)C(O)C1NC(C)=O,,0.919,10.1016_j.ijbiomac.2019.06.245_part_1.txt_段1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=C(O)C([*])C[*],,0.4446,10.1007_s10965-018-1568-5_part_2.txt_段1_Material1
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,[*]C(CCCCCO[*])=O,,1.535,10.1002_mabi.201300497_10.1002_mabi.201300497_part_1.txt_段1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,[*]C([H])([H])C(O)([H])[*],,2.1293,10.1016_j.ijbiomac.2020.07.065_part_4.txt_段1_Material1
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,0.95,10.1016_j.eurpolymj.2021.110267_part_2.txt_段1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,O=C(C(C[*])[*])N,,8,10.1016_j.carbpol.2018.05.078_part_4.txt_段1_Material1
[*]NC(C(O)=O)CCC([*])=O,O=C(C(C[*])[*])N,,14.7,10.2147_ijn.s235609_part_1.txt_段1_Material1
[*]C(CCCCCO[*])=O,O=C(O)C([*])C[*],,0.3781,10.1016_j.ijbiomac.2019.09.101_part_4.txt_段1_Material1
C/C(C[*])=C/C[*],O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O,C/C(C[*])=C/C[*],0.024,10.4028_www.scientific.net_amr.844.57_part_1.txt_段1_Material1
[*]OCC[*],[*]CC(C)(C(OCCO)=O)[*],[*]CC([*])N1CCCC1=O,3.1573,10.1002_app.36683_part_2.txt_段1_Material1
[*]CC[*],[*]CC=CCCC(C#N)[*],,9.567,10.1080_03602559.2014.974191_part_2.txt_段1_Material1
OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,7,10.1002_term.2159_10.1002_term.2159_part_2.txt_段1_Material1
[*]C([H])([H])C(O)([H])[*],[*]OCC[*],OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,9.52,10.1002_app.39144_part_1.txt_段1_Material2
OCC1OC(C(C(C1O[*])O)O)[*],[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,0.017,10.1007_s10570-013-9877-7_10.1007_s10570-013-9877-7_part_2.txt_段1_Material1
[*]OCC[*],[*]C(CCCCCO[*])=O,O=C(O)C([*])C[*],1.5,10.1016_j.biomaterials.2014.04.099_part_2.txt_段1_Material1
[*]C([H])([H])C(O)([H])[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,16.9,10.1002_app.42272_10.1002_app.42272_part_1.txt_段1_Material1
O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,28.38,10.1016_j.scp.2020.100218_part_1.txt_段1_Material1
OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,O=C(C(C[*])[*])N,,23.1255,10.1002_app.38788_part_2.txt_段1_Material1
[*]C1=CC(C2=NC3=CC(C4=CC=C5N=C([*])NC5=C4)=CC=C3N2)=CC=C1,,,0.09,10.1177_0954008317711235_part_2.txt_段1_Material1
[*]C1=CC(C2=NC3=CC(C4=CC=C5N=C([*])NC5=C4)=CC=C3N2)=CC=C1,[*]CC([*])N1CCCC1=O,,0.252,10.1016_j.bej.2016.03.003_part_1.txt_段1_Material3
[*]C1=CC=C([*])N1,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,10,10.1016_j.carbpol.2018.10.037_part_5.txt_段1_Material1
[*]OCC[*],,,27,10.1021_bm401712q_part_1.txt_段1_Material1
O=C(C(C[*])[*])N,OC1C(OC(C(C1O)O)[*])CO[*],,1.75,10.1002_pi.3035_part_1.txt_段1_Material1
[*]C(C(OC1O[*])COC(C)=O)C(O)C1NC(C)=O,O=C(C(C[*])[*])N,,8,10.1002_app.38788_part_1.txt_段1_Material1
[*]C([H])([H])C(O)([H])[*],O=C(C(C[*])[*])N,[*]C([H])([H])C(O)([H])[*],12.72,10.1016_j.polymer.2017.05.002_part_4.txt_段1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,21.9,10.3390_polym12091926_part_2.txt_段1_Material1
O=C(O)C([*])C[*],[*]C([H])([H])C(O)([H])[*],,0.6437999999999999,10.1016_j.carbpol.2017.03.070_part_2.txt_段1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,0.01,10.1007_s10570-018-2164-x_10.1007_s10570-018-2164-x_part_2.txt_段1_Material1
[*]CC(C)(C(OCCO)=O)[*],C[Si](O[*])(C)[*],,0.58,10.1039_c7py00563f_part_2.txt_段1_Material1
C/C(C[*])=C/C[*],[*]CCN[*],,0.27,10.1080_03602559.2010.482079_part_1.txt_段1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,9,10.1007_s00289-020-03280-7_part_2.txt_段1_Material1
OC1C(OC(C(C1O)O)C[*])COCC(OC(C(O)C=O)CO[*])C=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,10.56,10.1016_j.carbpol.2020.117598_part_2.txt_段1_Material1
[*]CC=CCCC(C1=CC=CC=C1)[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,,3.5845,10.1007_s13233-013-1088-4_part_2.txt_段1_Material1
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,2.25,10.1080_14658011.2018.1447340_part_1.txt_段1_Material1
O=C(C(C[*])[*])N,O=C(O)C([*])C[*],,0.91,10.1016_j.fuel.2018.03.103_part_1.txt_段1_Material1
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,,3.89,10.1080_09205063.2018.1523525_part_3.txt_段1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,84.22370000000001,10.1038_s41598-024-62926-y_OA_part_2.txt_段1_Material1
[*]C([H])([H])C(O)([H])[*],[*]CC([*])N1CCCC1=O,O=C(O)C([*])C[*],0.4,10.1007_s13726-021-00949-2_part_1.txt_段1_Material1
O=C(O)C([*])C[*],[*]CC(C#N)[*],,0.0616,10.1016_j.radphyschem.2013.04.001_part_1.txt_段1_Material1
[*]C1=CC=C([*])N1,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,0.21,10.1038_s41598-020-78650-2_part_2.txt_段1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],,7.318,10.1021_acsbiomaterials.8b00135_part_4.txt_段1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,,3,10.1016_j.foodhyd.2014.12.026_part_4.txt_段1_Material2
CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,8.2277,10.1080_09205063.2021.1952383_part_1.txt_段1_Material1
[*]C([H])([H])C(O)([H])[*],[*]C(CCCCCO[*])=O,,5.21,10.1002_app.43309_part_1.txt_段1_Material1
[*]CC(C)(C(OCCO)=O)[*],,,25,10.1002_macp.201500230_10.1002_macp.201500230_part_1.txt_段1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,12,10.1002_app.36590_part_2.txt_段1_Material1
