n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,R2_train,R2_valid
400,20,12,4,0.1,0.6846972171664482,0.49210243004051446
400,20,12,4,0.2,0.7067740050072957,0.5011774414694949
400,20,16,2,0.1,0.7103842744599531,0.5008835541943826
400,20,16,2,0.2,0.7251088561581543,0.503966594667588
400,20,16,4,0.1,0.6725409021810473,0.4945871673007506
400,20,16,4,0.2,0.6919162142408042,0.5016580730766836
400,25,12,2,0.1,0.7441308187101128,0.5044363446379153
400,25,12,2,0.2,0.7601816159664496,0.5061496469176449
400,25,12,4,0.1,0.6977516675950073,0.4962127022601889
400,25,12,4,0.2,0.7193376841509647,0.5012407069966061
400,25,16,2,0.1,0.7250680313374336,0.5021933434011285
400,25,16,2,0.2,0.7408240247834343,0.5029769393889763
400,25,16,4,0.1,0.6843471352899141,0.4948270403660451
400,25,16,4,0.2,0.7033214046239546,0.49862651985167683
600,10,12,2,0.1,0.6311403426341142,0.49977068615941234
600,10,12,2,0.2,0.6471450592434295,0.5062659104933244
600,10,12,4,0.1,0.6101947949957274,0.49394981255489734
600,10,12,4,0.2,0.6281778803303937,0.49955825734259973
600,10,16,2,0.1,0.6217906969594066,0.4974627627762337
600,10,16,2,0.2,0.6372449292213086,0.5037142589274427
600,10,16,4,0.1,0.6028148322900956,0.4893950235671689
600,10,16,4,0.2,0.6190660891220038,0.49605105626962887
600,15,12,2,0.1,0.6946573185522652,0.506143333732581
600,15,12,2,0.2,0.7104272432396708,0.5069977188902473
600,15,12,4,0.1,0.660846153021358,0.49488911527238144
600,15,12,4,0.2,0.6806314493318467,0.5019752261933246
600,15,16,2,0.1,0.6795800458675798,0.5038069094861053
600,15,16,2,0.2,0.6949083817403887,0.5052803003733368
600,15,16,4,0.1,0.6498034350122293,0.49216431343486433
600,15,16,4,0.2,0.6676773087691423,0.5008529349519169
600,20,12,2,0.1,0.7264447495168695,0.505250861102465
600,20,12,2,0.2,0.7435191076368873,0.5074697084947677
600,20,12,4,0.1,0.6850944452114307,0.49246046915732233
600,20,12,4,0.2,0.7072439983235835,0.5019629379900035
600,20,16,2,0.1,0.710362582637839,0.500778034974449
600,20,16,2,0.2,0.7254730688427702,0.5050015985717935
600,20,16,4,0.1,0.6724444533048228,0.49386064532227847
600,20,16,4,0.2,0.6923526912518573,0.5008745124180634
600,25,12,2,0.1,0.7441578001569555,0.5054458766029544
600,25,12,2,0.2,0.7607316057437951,0.5056298144292534
600,25,12,4,0.1,0.6977687747764649,0.49656008627429493
600,25,12,4,0.2,0.7192084660380135,0.5010758462683637
600,25,16,2,0.1,0.725450954287483,0.5022027184549172
600,25,16,2,0.2,0.7411622529567066,0.5030558341630733
600,25,16,4,0.1,0.6842517363791857,0.4929590261333081
600,25,16,4,0.2,0.7034838175175471,0.49845850660615454
