idx,y_pred,y_true,residual
364,5.487739,6.049218,-0.561479
365,5.384691,6.396199,-1.011509
366,6.352525,5.550228,0.802296
367,5.569060,5.575072,-0.006013
368,5.913124,6.100026,-0.186901
369,5.949517,4.860338,1.089179
370,6.821442,6.489958,0.331483
371,6.092488,6.397940,-0.305452
373,5.009482,4.705864,0.303618
374,5.389053,4.833147,0.555906
375,5.903088,6.182671,-0.279583
376,5.777878,6.262024,-0.484145
377,5.806976,6.408240,-0.601264
378,6.332349,6.591065,-0.258716
379,6.312401,5.876218,0.436183
380,6.131934,6.104146,0.027788
381,5.651703,4.630123,1.021580
382,5.908342,6.591065,-0.682723
383,6.575383,5.978181,0.597202
384,6.183576,6.322219,-0.138643
385,6.208882,6.100026,0.108857
387,6.213041,6.000000,0.213041
388,5.765458,6.431364,-0.665906
390,6.560175,6.732394,-0.172218
391,5.463214,4.491362,0.971852
392,5.221428,4.779019,0.442409
393,6.524577,6.556303,-0.031725
394,4.855796,4.850033,0.005763
397,6.062939,6.399154,-0.336215
398,5.935717,6.397940,-0.462223
399,6.005671,5.880814,0.124858
400,5.934160,5.892095,0.042065
401,5.945064,5.716003,0.229061
402,6.119303,6.696837,-0.577534
403,4.973284,5.530481,-0.557197
404,5.890147,6.465829,-0.575682
405,5.422465,6.591065,-1.168599
406,6.320082,6.919078,-0.598996
407,5.938368,6.301030,-0.362662
408,6.158663,6.380211,-0.221548
409,6.346400,6.204120,0.142280
410,6.386158,6.301030,0.085128
411,5.627524,6.073106,-0.445582
413,6.222741,6.322219,-0.099478
414,5.916274,5.866287,0.049986
415,5.960456,6.318063,-0.357607
416,5.960449,6.368101,-0.407652
418,5.582997,6.326131,-0.743134
419,5.598335,4.354108,1.244227
420,5.632813,6.396722,-0.763910
421,5.562963,5.619093,-0.056131
422,4.855594,3.698970,1.156624
423,5.694096,5.766785,-0.072689
424,6.015699,6.474755,-0.459057
425,5.780858,5.643453,0.137405
426,5.748202,6.453318,-0.705116
427,5.351023,4.764176,0.586847
428,5.669664,6.227115,-0.557451
429,5.503298,6.039255,-0.535957
430,5.845096,6.079181,-0.234085
431,6.191530,6.387212,-0.195682
432,5.876963,5.575072,0.301891
433,6.393282,6.539076,-0.145794
434,5.539614,6.008600,-0.468986
435,5.944456,6.113943,-0.169487
436,6.213197,6.222456,-0.009259
437,5.977020,5.276462,0.700558
438,6.203479,6.301030,-0.097551
439,6.139025,5.275104,0.863921
440,5.990592,6.884795,-0.894203
441,6.865815,6.849419,0.016396
442,6.721145,6.797960,-0.076815
443,6.596779,7.505150,-0.908371
445,6.403396,6.634981,-0.231585
446,6.576453,6.645275,-0.068821
447,5.139239,6.270679,-1.131440
448,6.530788,6.024896,0.505892
449,7.375092,7.385606,-0.010515
450,6.721087,6.284453,0.436634
451,6.810430,6.501059,0.309370
452,6.384382,6.501059,-0.116677
453,6.576403,6.716003,-0.139600
455,6.669731,6.271656,0.398075
457,6.371983,6.322219,0.049763
458,6.381180,5.337459,1.043721
459,6.416262,6.755875,-0.339612
461,6.269652,6.372912,-0.103260
462,6.235571,4.484300,1.751271
463,6.507365,6.227887,0.279478
464,5.734474,6.477121,-0.742648
465,5.764390,6.079181,-0.314791
