SMILE A,SMILE B,SMILE C,Young's Modulus (kPa) log10,来源,Swelling Ratio (times),Young's Modulus
O=C1CCCN1C([*])C[*],[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],,5.752048447819439,10.1039_c8tc02360c_part_2.txt_段1_Material2,,565000.0000000002
[*]/C=C\CC/C=C\CC(CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]CC[*],,6.113943352306837,10.1002_app.45512_part_2.txt_段1_Material2,,1300000.0000000005
[*]C(C)C(OCC(O[*])=O)=O,O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,4.778151250383644,10.1080_09205063.2016.1184121_part_2.txt_段1_Material3,,60000.00000000003
[*]C(C)C(OCC(O[*])=O)=O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,6.556302500767287,10.1002_mabi.201900105_part_1.txt_段1_Material1,,3599999.9999999963
[*]C(C)C[*],[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],,6.096910013008056,10.1016_j.eurpolymj.2009.07.019_part_1.txt_段1_Material3,,1249999.9999999995
[*]C(C)C[*],[*]CC(C1=CC=CC=C1)[*],,5.149834696715785,10.1177_0892705718797153_part_2.txt_段1_Material1,,141199.99999999997
[*]C(C)C[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,5.814394112097142,10.1177_0892705713518792_part_2.txt_段1_Material2,,652220.0000000001
[*]C(C)C[*],[*]CC=CCCC(C1=CC=CC=C1)[*],,5.786751422145561,10.1088_1755-1315_596_1_012015_part_1.txt_段1_Material1,,611999.9999999997
[*]C(C)C[*],[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,6.165244326125311,10.1016_j.compositesb.2019.02.044_part_1.txt_段1_Material1,,1463000.0000000012
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,6.419955748489758,10.1007_s00289-011-0509-9_part_2.txt_段1_Material2,,2630000.000000001
[*]C(CCCCCO[*])=O,O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,4.389095173354185,10.1021_acsabm.0c01084_part_1.txt_段1_Material1,,24495.999999999975
[*]C(CCCCCO[*])=O,[*]CC(C1=CC=C(C=C1)S(=O)([O-])=O)[*],,5.477121254719663,10.1002_mame.201700463_part_1.txt_段1_Material1,,300000.0000000001
[*]C(CCCCCO[*])=O,[*]CC(C1=CC=CC=C1)C/C=C/C[*],,5.064457989226918,10.1007_s10924-019-01522-y_part_2.txt_段1_Material2,,115999.99999999993
[*]C(CCCCCO[*])=O,[*]CC(C1=CC=CC=C1)[*],,7.176091259055681,10.1149_1945-7111_aba3fd_part_2.txt_段1_Material4,,15000000.000000004
[*]C(CCCCCO[*])=O,[*]CC(CC(C#N)[*])C1=CC=CC=C1,,6.041392685158225,10.1016_j.polymer.2019.121984_part_1.txt_段1_Material2,,1100000.0000000007
[*]C(CCCCCO[*])=O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,5.903089986991944,10.1002_bip.22016_part_1.txt_段1_Material1,,800000.0000000003
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,6.146128035678238,10.3390_ma8020408_part_2.txt_段1_Material2,,1400000.0000000005
[*]C([H])([H])C(O)([H])[*],O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,4.597826770377936,10.15282_jmes.19.1.2025.9.0826_OA_part_1.txt_段1_Material1,,39611.99999999997
[*]C([H])([H])C(O)([H])[*],[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],,5.648360010980932,10.1007_s11664-019-07676-8_part_3.txt_段1_Material1,,445000.0000000004
[*]C([H])([H])C(O)([H])[*],[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,,7.217483944213907,10.1680_jmacr.18.00256_part_1.txt_段1_Material1,,16500000.000000017
[*]C([H])([H])C(O)([H])[*],[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,4.124504224834283,10.1016_j.actbio.2016.10.019_part_2.txt_段1_Material2,,13320.000000000013
[*]C1=C2C(OCCO2)=C([*])S1,[*]CC(C1=CC=C(C=C1)S(=O)([O-])=O)[*],,5.826074802700826,10.1016_j.polymer.2019.06.002_part_3.txt_段1_Material1,,669999.9999999993
[*]C1=CC=C([*])N1,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,5.426023015689876,10.1016_j.bioelechem.2011.11.008_part_2.txt_段1_Material1,,266699.9999999998
[*]CC(C#N)[*],[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,6.176091259055681,10.3390_polym12092102_part_2.txt_段1_Material1,,1500000.0000000005
[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],[*]C(C)C[*],,6.004321373782642,10.1016_j.memsci.2010.06.031_part_1.txt_段1_Material1,,1009999.9999999992
[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],[*]C([H])([H])C(O)([H])[*],,6.176091259055681,10.1002_admt.201600056_part_2.txt_段1_Material1,,1500000.0000000005
[*]CC(C1=CC=CC=C1)[*],C/C(C[*])=C/C[*],,5.008600171761918,10.1016_j.matdes.2012.05.020_part_1.txt_段1_Material1,,102000.00000000007
[*]CC(C1=CC=CC=C1)[*],COC(C(C[*])([*])C)=O,,5.819543935541868,10.1021_acs.langmuir.5b04334_part_1.txt_段1_Material1,,659999.9999999995
[*]CC(C1=CC=CC=C1)[*],C[Si](C)(C[*])O[*],,6.4623979978989565,10.1021_acsmacrolett.0c00471_part_1.txt_段1_Material2,,2900000.000000003
