Pair_ID,SMILE A,SMILE B,row_index,Pred (Young's Modulus)
Pair_183,OC1C(OC(C(C1O)O)[*])CO[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,167,5.623121660260117
Pair_184,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,168,5.784993982417193
Pair_185,[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,169,6.14004983966881
Pair_186,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,170,5.612220675605794
Pair_187,[*]C(CCCCCO[*])=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,171,5.334247771708916
Pair_188,[*]NC(C(O)=O)CCC([*])=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,172,6.0198660742917545
Pair_189,[*]C(C)C(OCC(O[*])=O)=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,173,5.949952974496771
Pair_190,O=C(N([*])C([*])=O)CC=C,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,174,5.634588996656041
Pair_191,[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,175,6.33544632757949
Pair_192,O=C(C(C[*])[*])N,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,176,2.6660830603143215
Pair_193,OCC1OC(C(C(C1O[*])O)NC(C)=O)OC2C(O)C(C(OC2CO)[*])NC(C)=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,177,5.562967460760491
Pair_194,O=C(N)C([*])C[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,178,2.6660830603143215
Pair_195,[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,179,5.857022144944086
Pair_196,[*]NC(CCC([*])=O)C(O)=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,180,6.0198660742917545
Pair_197,CC(NC1C(OC(C(C1OC2OC(C(C(C2OCC(COC(C(C)=C)=O)O)O)O[*])C([O-])=O)O)O)O[*])=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,181,5.20497130825739
Pair_198,[*]C(C)(C(OCCN(C)C)=O)C[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,182,4.404233346306871
Pair_199,[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,183,5.319707004562747
Pair_200,CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,184,5.912023444152153
Pair_201,O=C([*])C(C)O[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,185,6.164725387884995
Pair_202,COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,186,5.773230581984311
Pair_203,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],187,5.316205333514749
Pair_204,COC(C(C[*])([*])C)=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,188,6.004783831740758
Pair_205,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,189,5.784993982417193
Pair_206,[*]CC(C)(C(OCCO)=O)[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,190,3.388655299395671
Pair_207,[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,191,4.775914253833739
Pair_208,O=C([*])CCCCCO[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,192,5.334247771708916
Pair_209,O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,193,4.88645368043422
Pair_210,O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,194,5.469318974774349
Pair_217,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]OCC[*],195,5.288953343111748
Pair_218,OC1C(OC(C(C1O)O)[*])CO[*],[*]OCC[*],196,5.6856580124483855
Pair_219,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]OCC[*],197,5.678640649655295
Pair_220,[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]OCC[*],198,5.934449634902774
Pair_221,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,[*]OCC[*],199,5.486152588627094
Pair_222,[*]C(CCCCCO[*])=O,[*]OCC[*],200,5.3086651550856665
Pair_223,[*]NC(C(O)=O)CCC([*])=O,[*]OCC[*],201,5.711316106963976
Pair_224,[*]C(C)C(OCC(O[*])=O)=O,[*]OCC[*],202,5.820780323343286
Pair_225,O=C(N([*])C([*])=O)CC=C,[*]OCC[*],203,5.505639061074351
Pair_226,[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,[*]OCC[*],204,5.832472588681793
Pair_227,O=C(C(C[*])[*])N,[*]OCC[*],205,2.022974710225824
Pair_228,OCC1OC(C(C(C1O[*])O)NC(C)=O)OC2C(O)C(C(OC2CO)[*])NC(C)=O,[*]OCC[*],206,5.73840568628992
Pair_229,O=C(N)C([*])C[*],[*]OCC[*],207,2.022974710225824
Pair_230,[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],[*]OCC[*],208,5.7784581489293
Pair_231,[*]NC(CCC([*])=O)C(O)=O,[*]OCC[*],209,5.711316106963976
Pair_232,CC(NC1C(OC(C(C1OC2OC(C(C(C2OCC(COC(C(C)=C)=O)O)O)O[*])C([O-])=O)O)O)O[*])=O,[*]OCC[*],210,5.386125790212345
Pair_233,[*]C(C)(C(OCCN(C)C)=O)C[*],[*]OCC[*],211,4.237875387060466
Pair_234,[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O,[*]OCC[*],212,5.617572294652857
Pair_235,CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O,[*]OCC[*],213,5.841843421962184
Pair_236,O=C([*])C(C)O[*],[*]OCC[*],214,5.9088059604634395
Pair_237,COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*],[*]OCC[*],215,5.7550369493728875
Pair_238,[*]OCC[*],[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],216,5.470047242297969
Pair_239,COC(C(C[*])([*])C)=O,[*]OCC[*],217,5.795228698653156
Pair_240,[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,[*]OCC[*],218,5.678640649655295
Pair_241,[*]CC(C)(C(OCCO)=O)[*],[*]OCC[*],219,3.3280493901322608
